Date,Nuclear,Gaz,Charbon,Biomasse,Fioul,Hydro,STEP Pompage,STEP Turbinage,Batterie Injection,Batterie Soutirage,RES,Charge,Charge Nette
2020-01-03T08:00:00,5580.0,0.0,1080.0,0.0,0.0,0.0,939.8369210697972,0.0,0.0,0.0,3923,9643,5720
2020-01-03T09:00:00,5580.0,0.0,1080.0,0.0,0.0,0.0,1039.8369210697974,0.0,0.0,0.0,4352,9972,5620
2020-01-03T10:00:00,5580.0,0.0,1080.0,0.0,0.0,0.0,6.836921069796422,0.0,0.0,0.0,3685,10338,6653
2020-01-03T11:00:00,5580.0,0.0,1080.0,0.0,0.0,0.0,920.8369210697972,0.0,0.0,0.0,4824,10563,5739
2020-01-03T12:00:00,5580.0,0.0,1080.0,0.0,0.0,0.0,948.8369210697972,0.0,0.0,0.0,5147,10858,5711
2020-01-03T13:00:00,5580.0,0.0,959.1630789302027,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,5053,10392,5339
2020-01-03T14:00:00,5580.0,0.0,511.1630789302027,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,5033,9924,4891
2020-01-03T15:00:00,5546.163078930203,0.0,630.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,4725,9701,4976
2020-01-03T16:00:00,5580.0,5.456968210637569e-13,712.1630789302014,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,4574,9666,5092
2020-01-03T17:00:00,5580.0,-3.637978807091713e-13,1450.163078930203,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,4422,10252,5830
2020-01-03T18:00:00,5580.0,1.3642420526593928e-13,1620.0,0.0,0.0,0.0,1088.8369210697972,0.0,0.0,0.0,4474,10585,6111
2020-01-03T19:00:00,5580.0,-1.3642420526593928e-13,1620.0,0.0,0.0,0.0,671.8369210697964,0.0,0.0,0.0,4062,10590,6528
2020-01-03T20:00:00,5580.0,1.3642420526593928e-13,2160.0,0.0,0.0,0.0,815.8369210697981,0.0,0.0,0.0,3408,10332,6924
2020-01-03T21:00:00,5580.0,0.0,2160.0,0.0,0.0,0.0,889.8369210697974,0.0,0.0,0.0,3128,9978,6850
2020-01-03T22:00:00,5580.0,0.0,2160.0,0.0,0.0,0.0,527.8369210697974,0.0,0.0,0.0,3029,10241,7212
2020-01-03T23:00:00,5580.0,0.0,2160.0,0.0,0.0,0.0,282.8369210697974,0.0,0.0,0.0,3025,10482,7457
