Date,Nucleaire,Gaz,Charbon,Biomasse,Fioul,Hydro,STEP Pompage,STEP Turbinage,Batterie Injection,Batterie Soutirage,RES,Charge Nette
2020-01-03 21:00:00,3295.1630789302026,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3128,6850
2020-01-03 22:00:00,3657.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3029,7212
2020-01-03 23:00:00,3902.1630789302026,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3025,7457
2020-01-04 00:00:00,3960.0,3555.0000000000005,0.0,0.0,0.0,434.1630789302016,0.0,0.0,0.0,0.0,2831,7949
2020-01-04 01:00:00,3960.0,3554.9999999999995,0.0,0.0,0.0,1699.1630789302037,0.0,0.0,0.0,0.0,1257,9214
2020-01-04 02:00:00,3960.0,3555.0000000000005,0.0,0.0,0.0,310.16307893020155,0.0,0.0,0.0,0.0,2279,7825
2020-01-04 03:00:00,3960.0,3555.0000000000005,0.0,0.0,0.0,176.16307893020155,0.0,0.0,0.0,0.0,1826,7691
2020-01-04 04:00:00,3854.163078930202,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1739,7409
2020-01-04 05:00:00,3518.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,7073
2020-01-04 06:00:00,3950.1630789302026,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614,7505
2020-01-04 07:00:00,3595.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1985,7150
2020-01-04 08:00:00,2790.0,3554.9999999999995,0.0,0.0,0.0,424.1630789302026,0.0,0.0,0.0,0.0,2531,6769
2020-01-04 09:00:00,1654.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4453,5209
2020-01-04 10:00:00,2597.1630789302035,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3955,6152
2020-01-04 11:00:00,1997.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4915,5552
2020-01-04 12:00:00,2306.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5027,5861
2020-01-04 13:00:00,1612.1630789302021,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5335,5167
2020-01-04 14:00:00,1055.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5478,4610
2020-01-04 15:00:00,735.1630789302026,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5547,4290
2020-01-04 16:00:00,899.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5313,4454
2020-01-04 17:00:00,1815.1630789302026,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4986,5370
2020-01-04 18:00:00,2538.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4748,6093
2020-01-04 19:00:00,2730.1630789302035,3554.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4602,6285
2020-01-04 20:00:00,2913.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4029,6468
2020-01-04 21:00:00,2740.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3688,6295
2020-01-04 22:00:00,2502.163078930202,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4150,6057
2020-01-04 23:00:00,3133.1630789302017,3555.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3736,6688
2020-01-05 00:00:00,2630.1630789302044,3554.9999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3662,6185
